date,steps,sleep_hours,resting_heart_rate,weight_kg,workout_minutes,mood,water_ml
2026-07-25,8506,6.3,56,77.8,0,2,
2026-07-26,12279,7.4,62,77.7,45,4,1213
2026-07-27,6615,7.7,59,77.7,30,5,
2026-07-28,8333,8.0,65,77.8,45,,2487
2026-07-29,9925,7.3,65,,20,3,1978
2026-07-30,9977,6.0,59,77.7,0,3,1701
2026-07-31,10216,6.3,68,77.6,30,2,1265
2026-08-01,10572,6.3,57,77.6,30,5,2516
2026-08-02,8339,5.9,65,77.6,45,5,1483
2026-08-03,5489,7.8,67,77.6,45,5,2158
2026-08-04,4188,7.6,55,77.6,20,4,2090
2026-08-05,4053,8.5,68,77.5,0,2,1811
2026-08-06,12317,7.4,56,77.5,0,5,
2026-08-07,9038,6.2,57,77.6,0,2,2290
2026-08-08,6103,7.5,62,77.6,45,3,2017
2026-08-09,10118,6.9,62,77.7,0,3,1214
2026-08-10,4964,6.2,68,,0,5,1470
2026-08-11,11744,6.3,61,77.6,0,4,2156
2026-08-12,4887,7.6,64,,30,2,1589
2026-08-13,6296,6.8,58,77.7,0,2,
2026-08-14,4241,8.5,68,77.8,45,3,1320
2026-08-15,4035,8.6,58,77.7,20,5,1807
2026-08-16,4958,7.3,62,,0,3,
2026-08-17,7044,5.7,55,77.6,0,3,1281
2026-08-18,10868,7.5,63,77.6,0,4,2010
2026-08-19,8915,6.9,68,77.5,,2,
2026-08-20,8345,5.9,59,77.4,30,5,2640
2026-08-21,12666,5.5,67,77.3,0,3,1419
2026-08-22,6546,6.3,63,77.3,20,4,1304
2026-08-23,10939,8.1,54,,20,5,2075
